targets,Wavelength (nm),copolymer,method,Maximum Imidization Temperature,Total Imidization Time,Thickness-middle,a2245273601,a171200514,a3619695750,a1459140616,a3341916169,a1508020232,a370718733,a2855895055,a2966050835,a1048664085,a1693061139,a2239639576,a27979804,a1730555933,a1140824095,a2551203876,a2017597479,a912064551,a1063794729,a4109680682,a2657763367,a3820826669,a331407418,a68675643,a2312669254,a2439737417,a2907961420,a2245384272,a589930590,a1150253149,a3962640484,a1630177384,a3957411950,a2245277810,a4078616692,a1026928756,a1304041590,a221403255,a2956998777,a422735999,a3873253504,a65036417,a2889224323,a478150792,a1303333002,a4240709783,a174348455,a3756261549,a1366143150,a1992087727,a1128208564,a1538830519,a714893496,a3918336191,a2024294592,a668520641,a269959362,a251220164,a243118284,a3130706129,a4234240219,a398901476,a3002759401,a3631032570,a391108857,a3754877180,a709435661,a1265174797,a2846910738,a2652705045,a208285974,a2596284703,a3205972274,a10565946,a2223687999,a3162837314,a1544032587,a1136130381,a2917984598,a3982076256,a231600494,a3806466426,a2041434490,a699773305,a3880022399,a2763854213,a2039701904,a3909974435,a1982474688,a95060427,a2137969116,a3816921572,a3732697594,a3599491590,a2395259406,a4256524850,a4228028995,a1013766725,a4200491602,a522068575,a3988927079,a3454931564,a1110792813,a720822897,a2084364935,a864942730,a3189457552,a864674487,a1105433299,a1150649048,a3138468577,a4268956439,a1312131881,a864662311,a994485099,a4256002933,a3975295864,a4216335232,a4158944142,a2968968094,a138171313,a4222888908,a2976033787,a3692055567,a2246728737,a208704559,a98513984,a3182824521,a1940345938,a210123858,a2353112200,a1543552144,a847957139,a968451241,a1152199883,a628810978,a3372254436,a1706566901,a1755989257,a554759449,a2542632244,a3322645827,a946728269,a2929966416,a1503972698,a3217380708,a2994748777,a3124581743,a3933537673,a1083852209,a1962018286,a2509211297,a951226070,a4121755354,a1476574959,a473978627,a1323888424,a1857396528,a2658088761,a1101907775,a2799808505,g1252718593,g1459140616,g3341916169,g670646308,g3346153511,g1063794729,g3974328374,g68675643,g906778689,g922200166,g519569517,g1026928756,g2889224323,g199889041,g2191681690,g4290259127,g668520641,g260360432,g1333309687,g274934036,g2863872304,g2223687999,g3162837314,g275607895,g2471530844,g3559852389,g1721149895,g617798156,g2974534217,g3454931564,g3189457552,g864674487,g2434951923,g229241619,g994485099,g2968968094,g1323467736,g2976033787,g98513984,g1755989257,g2117068077,g3217380708,g3810647423,g3933537673,g4195680018
82.0,450,0,0,300,2610,30.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0,4.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0,0,8.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,2.0,0,0.0,0,0,0,0.0,0,2.0,1.0,2.0,0,2.0,0.0,0,0.0,0,1.0,0,10.0,0.0,0.0,2.0
56.0,450,0,0,200,840,28.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,2,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,2.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,2.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0,0,10.0,0,2,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,2.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,0.0,2.0
83.9,450,0,0,300,270,35.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,2.0,0,0,0,0,2.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,2.0,2.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,2.0,0,0.0,0,1.0,0,0,0.0,0,0,0,0,2.0,0.0,0.0,0,4,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,2.0,1.0,1,2.0,0,0,2.0,0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0,0.0,2.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0,0,14.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,2.0,0,0.0,0,0,0,0.0,0,2.0,1.0,2.0,0,2.0,0.0,0,0.0,0,1.0,0,10.0,0.0,0.0,2.0
76.0,400,0,1,200,2040,21.0,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0,1.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1.0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0.0,1.0,0.0,0,0.0,2.0,2.0,1.0,1,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,2.0,0,0,4.0,0,0,0.0,0,0,0,1.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,2.0,0,4,0,0.0,0,2.0,0.0,0.0,0,0.0,2.0,0,4.0,0,0.0,0,4.0,0.0,0.0,2.0
97.0,550,0,0,40,1440,28.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0,0,8.0,2,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,2.0,0,4,0,0.0,0,2.0,0.0,0.0,0,0.0,2.0,0,4.0,0,0.0,0,4.0,0.0,0.0,2.0
84.8,430,1,0,300,240,50.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1.85,0,0,0.0,0,0,0,0,1.85,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1.85,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1.85,0,0,0.0,0,0,0,0,1.85,0.0,0.075,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1.85,0.0,0,0.0,0,0,0.0,0,1.85,0.0,1.85,0.0,1.85,0.0,0.0,0.45,0.0,0,0.15,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.85,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.55,0.0,0.0,0.0,1.85,0,0,3.7,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,1.6,0.4,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,0.4,2.0
86.0,800,0,0,300,180,30.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0,0,4.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,2.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,0.0,2.0
26.0,400,0,0,200,1080,23.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,2.0,0,0,0,0,2.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,2.0,2.0,0,0,0,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,1.0,0,0,2,0,2.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,2.0,0,0,2.0,0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.0,0.0,0.0,0,3.0,2.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0,0,16.0,0,0,0.0,0,0,0,1.0,0.0,0,0,0,0.0,0,0,0.0,2.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,2.0,2.0
86.0,700,0,1,200,2160,50.0,3.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,2,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0.0,0.0,4.0,0,3.0,0.0,0.0,0,2.0,0.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0,0,10.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,2.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,0.0,2.0
16.0,400,0,0,200,1080,21.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,2.0,0,0,0,0,2.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,2.0,2.0,0,0,0,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,1.0,0,0,2,0,2.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,2.0,0,0,2.0,0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.0,0.0,0.0,0,3.0,2.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0,0,16.0,0,0,0.0,0,0,0,1.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,2.0,0,0.0,0,0,0,0.0,0,2.0,1.0,2.0,0,2.0,0.0,0,0.0,0,1.0,0,10.0,0.0,0.0,2.0
72.1,500,0,0,250,540,50.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,1.0,0,0.0,0.0,0,0.0,2.0,0,0,0.0,0,0.0,0.0,2.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,2.0,0.0,0,0,1.0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0,0,8.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,2.0,0,0.0,0,0,0,0.0,0,2.0,1.0,2.0,0,2.0,0.0,0,0.0,0,1.0,0,10.0,0.0,0.0,2.0
89.0,550,0,0,60,360,29.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,2.0,0,0,0,0,2.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,2.0,2.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,2.0,0.0,0,2.0,0,0,2.0,0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0,0,8.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,2.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,2.0,2.0
86.6,450,1,0,300,240,50.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1.85,0,0,0.0,0,0,0,0,1.85,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1.85,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1.85,0,0,0.0,0,0,0,0,1.85,0.0,0.075,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1.85,0.0,0,0.0,0,0,0.0,0,1.85,0.0,1.85,0.0,1.85,0.0,0.0,0.45,0.0,0,0.15,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.85,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.55,0.0,0.0,0.0,1.85,0,0,3.7,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,1.6,0.4,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,0.4,2.0
78.0,450,0,1,200,660,21.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,2.0,0,0,0,0,2.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,2.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,1.0,0,0,0.0,2,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0,0,4.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,2,0,2.0,0,0.0,0,0,0,0,2.0,0,0.0,0,0,2,0.0,0,2.0,2.0,0.0,0,2.0,4.0,0,2.0,0,0.0,2,10.0,0.0,0.0,2.0
60.0,450,0,0,200,1080,21.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,2.0,0,0,0,0,2.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,2.0,2.0,0,0,0,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,1.0,0,0,2,0,2.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,2.0,0,0,2.0,0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.0,0.0,0.0,0,3.0,2.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0,0,16.0,0,0,0.0,0,0,0,1.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,2.0,0,0.0,0,0,0,0.0,0,2.0,1.0,2.0,0,2.0,0.0,0,0.0,0,1.0,0,10.0,0.0,0.0,2.0
29.0,400,0,1,180,2880,22.0,1.0,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0,1.0,0.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0,0,0.0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0,0,4.0,0,0,0.0,0,0,0,0.0,0.0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,1,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,0.0,2.0
63.5,500,0,0,250,540,50.0,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,1.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,0,0.0,0,0.0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0,0,6.0,0,0,0.0,0,0,0,0.0,0.0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,1,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,0.0,2.0
79.0,450,0,1,180,2880,26.0,1.0,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0,1.0,0.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0,0,0.0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0,0,4.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,2.0,0,0.0,0,0,0,0.0,0,2.0,1.0,2.0,0,2.0,0.0,0,0.0,0,1.0,0,10.0,0.0,0.0,2.0
93.5,800,0,0,300,240,160.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.5,0,0,0,0,1.5,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1.5,0,0.0,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0.0,0.0,0,0,0,0,0,0,0,1.5,0,0.0,0,0.0,0,0,0.0,0,0,0,0,1.5,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1.5,0.0,0,1.5,0,0,1.5,0,1.5,0.0,3.0,0.0,1.5,3.0,0.0,0.0,1.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.0,1.5,1.5,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.5,0,0,9.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,2.0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,2.0,2.0
31.0,400,0,1,200,2880,20.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,0,0,2.0,0,0,0.0,0,0,0,0.0,0.0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,0.0,0,1,0,0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,0,2.0,0.0,0,0.0,0,0.0,0,10.0,0.0,0.0,2.0
